"Year","State Name","total_rice_production"
"1966","Punjab","338"
"1966","Uttar Pradesh","2473.5"
"1966","West Bengal","4819.400000000001"
"1967","Punjab","415"
"1967","Uttar Pradesh","2968.9999999999995"
"1967","West Bengal","4865.7699999999995"
"1968","Punjab","469.5"
"1968","Uttar Pradesh","2607.1000000000004"
"1968","West Bengal","5461.490000000001"
"1969","Punjab","534.6"
"1969","Uttar Pradesh","3087.2"
"1969","West Bengal","5362.82"
"1970","Punjab","685"
"1970","Uttar Pradesh","3265.6000000000004"
"1970","West Bengal","5209.07"
"1971","Punjab","919"
"1971","Uttar Pradesh","3530.5999999999995"
"1971","West Bengal","4965.1"
"1972","Punjab","955"
"1972","Uttar Pradesh","2963.500000000001"
"1972","West Bengal","5310.03"
"1973","Punjab","1179"
"1973","Uttar Pradesh","3534"
"1973","West Bengal","5456.209999999999"
"1974","Punjab","1179"
"1974","Uttar Pradesh","3164.9999999999995"
"1974","West Bengal","6223.329999999999"
"1975","Punjab","1449"
"1975","Uttar Pradesh","4003.500000000001"
"1975","West Bengal","6471.759999999999"
"1976","Punjab","1741"
"1976","Uttar Pradesh","3995.5999999999995"
"1976","West Bengal","5607.9800000000005"
"1977","Punjab","2411"
"1977","Uttar Pradesh","4719.699999999999"
"1977","West Bengal","7230.089999999998"
"1978","Punjab","3073"
"1978","Uttar Pradesh","5470.400000000001"
"1978","West Bengal","5985.900000000001"
"1979","Punjab","3041"
"1979","Uttar Pradesh","2154.0000000000005"
"1979","West Bengal","5773.009999999999"
"1980","Punjab","3223"
"1980","Uttar Pradesh","4967.199999999999"
"1980","West Bengal","7461.569999999999"
"1981","Punjab","3755"
"1981","Uttar Pradesh","5478.800000000001"
"1981","West Bengal","5832.6"
"1982","Punjab","4147"
"1982","Uttar Pradesh","5135.999999999999"
"1982","West Bengal","4949.05"
"1983","Punjab","4536"
"1983","Uttar Pradesh","6325.900000000002"
"1983","West Bengal","7882.6900000000005"
"1984","Punjab","5057"
"1984","Uttar Pradesh","6680.3"
"1984","West Bengal","8092.51"
"1985","Punjab","5448"
"1985","Uttar Pradesh","7747.2"
"1985","West Bengal","7990.920000000001"
"1986","Punjab","6022"
"1986","Uttar Pradesh","6713.799999999999"
"1986","West Bengal","8463.02"
"1987","Punjab","5431"
"1987","Uttar Pradesh","6041.2"
"1987","West Bengal","9271.74"
"1988","Punjab","4942"
"1988","Uttar Pradesh","9067.3"
"1988","West Bengal","10559.830000000002"
"1989","Punjab","6697"
"1989","Uttar Pradesh","9784.4"
"1989","West Bengal","10923.57"
"1990","Punjab","6511"
"1990","Uttar Pradesh","9721.209999999997"
"1990","West Bengal","9668.01"
"1991","Punjab","6748"
"1991","Uttar Pradesh","8917.07"
"1991","West Bengal","11203.2"
"1992","Punjab","7031"
"1992","Uttar Pradesh","9195.800000000001"
"1992","West Bengal","10640.43"
"1993","Punjab","7645"
"1993","Uttar Pradesh","9687.84"
"1993","West Bengal","11252.380000000001"
"1994","Punjab","7702"
"1994","Uttar Pradesh","9832.35"
"1994","West Bengal","11387.82"
"1995","Punjab","6845"
"1995","Uttar Pradesh","9844.140000000001"
"1995","West Bengal","11082"
"1996","Punjab","7334"
"1996","Uttar Pradesh","11249.529999999999"
"1996","West Bengal","12636.78"
"1997","Punjab","7890.000000000001"
"1997","Uttar Pradesh","11736.930000000004"
"1997","West Bengal","13236.589999999998"
"1998","Punjab","7993.000000000001"
"1998","Uttar Pradesh","10881.579999999998"
"1998","West Bengal","13316.45"
"1999","Punjab","8716"
"1999","Uttar Pradesh","12690.169999999995"
"1999","West Bengal","13699.68"
"2000","Punjab","9157"
"2000","Uttar Pradesh","11727.909999999998"
"2000","West Bengal","12428.05"
"2001","Punjab","8824"
"2001","Uttar Pradesh","12901.410000000003"
"2001","West Bengal","15256.68"
"2002","Punjab","8880"
"2002","Uttar Pradesh","9630.53"
"2002","West Bengal","14389.24"
"2003","Punjab","9656"
"2003","Uttar Pradesh","12524.560000000001"
"2003","West Bengal","14662.239999999998"
"2004","Punjab","10437"
"2004","Uttar Pradesh","9599.560000000003"
"2004","West Bengal","14884.91"
"2005","Punjab","10192.999999999998"
"2005","Uttar Pradesh","11787.279999999997"
"2005","West Bengal","14510.800000000001"
"2006","Punjab","10138"
"2006","Uttar Pradesh","10940.170000000002"
"2006","West Bengal","14745.899999999998"
"2007","Punjab","10489"
"2007","Uttar Pradesh","11913.300000000003"
"2007","West Bengal","14719.5"
"2008","Punjab","11000"
"2008","Uttar Pradesh","13080.929999999998"
"2008","West Bengal","15037.300000000003"
"2009","Punjab","11236"
"2009","Uttar Pradesh","11840.150000000003"
"2009","West Bengal","14340.599999999997"
"2010","Punjab","10819"
"2010","Uttar Pradesh","12363.539999999999"
"2010","West Bengal","13389.62"
"2011","Punjab","10542.000000000002"
"2011","Uttar Pradesh","13949.630000000001"
"2011","West Bengal","14610.28"
"2012","Punjab","11390"
"2012","Uttar Pradesh","13182.31"
"2012","West Bengal","14946.74"
"2013","Punjab","11267"
"2013","Uttar Pradesh","14588.970000000001"
"2013","West Bengal","15376.879999999997"
"2014","Punjab","11107"
"2014","Uttar Pradesh","13346.030000000004"
"2014","West Bengal","15927.2"
"2015","Punjab","11823"
"2015","Uttar Pradesh","12531.730000000001"
"2015","West Bengal","15948.260000000002"
"2016","Punjab","12638"
"2016","Uttar Pradesh","14500.800000000001"
"2016","West Bengal","15106.32"
"2017","Punjab","13382"
"2017","Uttar Pradesh","15551.39"
"2017","West Bengal","15658.94"
