"Year","State Name","avg_maize_yield"
"1966","Andhra Pradesh","822.73"
"1966","Assam","429.13"
"1966","Bihar","1011.68"
"1966","Chhattisgarh","1129.94"
"1966","Gujarat","604.85"
"1966","Haryana","867.06"
"1966","Himachal Pradesh","1350.13"
"1966","Jharkhand","1029.92"
"1966","Karnataka","178.07"
"1966","Kerala","0.00"
"1966","Madhya Pradesh","776.08"
"1966","Maharashtra","835.87"
"1966","Orissa","876.95"
"1966","Punjab","1332.56"
"1966","Rajasthan","538.37"
"1966","Tamil Nadu","458.33"
"1966","Telangana","724.06"
"1966","Uttar Pradesh","933.20"
"1966","Uttarakhand","286.92"
"1966","West Bengal","573.93"
"1967","Andhra Pradesh","1193.18"
"1967","Assam","443.51"
"1967","Bihar","1103.15"
"1967","Chhattisgarh","1319.93"
"1967","Gujarat","860.16"
"1967","Haryana","788.92"
"1967","Himachal Pradesh","1591.58"
"1967","Jharkhand","1440.16"
"1967","Karnataka","831.33"
"1967","Kerala","0.00"
"1967","Madhya Pradesh","1082.01"
"1967","Maharashtra","740.43"
"1967","Orissa","894.01"
"1967","Punjab","1563.33"
"1967","Rajasthan","876.39"
"1967","Tamil Nadu","527.78"
"1967","Telangana","945.39"
"1967","Uttar Pradesh","713.47"
"1967","Uttarakhand","194.85"
"1967","West Bengal","698.33"
"1968","Andhra Pradesh","737.73"
"1968","Assam","421.66"
"1968","Bihar","1027.04"
"1968","Chhattisgarh","893.14"
"1968","Gujarat","651.85"
"1968","Haryana","769.84"
"1968","Himachal Pradesh","-1.00"
"1968","Jharkhand","1341.91"
"1968","Karnataka","1476.38"
"1968","Kerala","0.00"
"1968","Madhya Pradesh","676.50"
"1968","Maharashtra","554.71"
"1968","Orissa","900.25"
"1968","Punjab","1390.79"
"1968","Rajasthan","371.53"
"1968","Tamil Nadu","537.89"
"1968","Telangana","848.67"
"1968","Uttar Pradesh","786.57"
"1968","Uttarakhand","239.16"
"1968","West Bengal","624.40"
"1969","Andhra Pradesh","1024.04"
"1969","Assam","432.95"
"1969","Bihar","876.70"
"1969","Chhattisgarh","913.34"
"1969","Gujarat","640.41"
"1969","Haryana","854.92"
"1969","Himachal Pradesh","-1.00"
"1969","Jharkhand","1145.57"
"1969","Karnataka","2555.64"
"1969","Kerala","0.00"
"1969","Madhya Pradesh","694.29"
"1969","Maharashtra","517.36"
"1969","Orissa","878.47"
"1969","Punjab","1396.05"
"1969","Rajasthan","346.51"
"1969","Tamil Nadu","638.29"
"1969","Telangana","1126.21"
"1969","Uttar Pradesh","719.79"
"1969","Uttarakhand","248.15"
"1969","West Bengal","719.39"
"1970","Andhra Pradesh","1242.11"
"1970","Assam","487.46"
"1970","Bihar","1097.24"
"1970","Chhattisgarh","1413.51"
"1970","Gujarat","1376.40"
"1970","Haryana","965.90"
"1970","Himachal Pradesh","1808.03"
"1970","Jharkhand","1195.91"
"1970","Karnataka","3147.64"
"1970","Kerala","0.00"
"1970","Madhya Pradesh","1079.66"
"1970","Maharashtra","456.66"
"1970","Orissa","934.28"
"1970","Punjab","1504.44"
"1970","Rajasthan","882.29"
"1970","Tamil Nadu","722.40"
"1970","Telangana","1157.86"
"1970","Uttar Pradesh","1087.92"
"1970","Uttarakhand","304.03"
"1970","West Bengal","638.84"
"1971","Andhra Pradesh","1020.46"
"1971","Assam","579.00"
"1971","Bihar","282.09"
"1971","Chhattisgarh","1098.18"
"1971","Gujarat","1438.02"
"1971","Haryana","993.90"
"1971","Himachal Pradesh","1247.54"
"1971","Jharkhand","435.84"
"1971","Karnataka","2630.88"
"1971","Kerala","0.00"
"1971","Madhya Pradesh","876.10"
"1971","Maharashtra","435.32"
"1971","Orissa","784.87"
"1971","Punjab","1520.29"
"1971","Rajasthan","541.14"
"1971","Tamil Nadu","699.63"
"1971","Telangana","893.54"
"1971","Uttar Pradesh","559.56"
"1971","Uttarakhand","247.92"
"1971","West Bengal","694.12"
"1972","Andhra Pradesh","1031.87"
"1972","Assam","540.98"
"1972","Bihar","1040.32"
"1972","Chhattisgarh","1181.37"
"1972","Gujarat","1170.38"
"1972","Haryana","742.98"
"1972","Himachal Pradesh","1536.90"
"1972","Jharkhand","571.11"
"1972","Karnataka","2485.13"
"1972","Kerala","0.00"
"1972","Madhya Pradesh","936.29"
"1972","Maharashtra","345.42"
"1972","Orissa","916.13"
"1972","Punjab","1513.54"
"1972","Rajasthan","563.40"
"1972","Tamil Nadu","688.64"
"1972","Telangana","809.33"
"1972","Uttar Pradesh","807.16"
"1972","Uttarakhand","244.44"
"1972","West Bengal","623.21"
"1973","Andhra Pradesh","1459.73"
"1973","Assam","540.31"
"1973","Bihar","956.94"
"1973","Chhattisgarh","1144.64"
"1973","Gujarat","704.17"
"1973","Haryana","829.43"
"1973","Himachal Pradesh","1642.57"
"1973","Jharkhand","1438.03"
"1973","Karnataka","3090.92"
"1973","Kerala","0.00"
"1973","Madhya Pradesh","740.13"
"1973","Maharashtra","566.42"
"1973","Orissa","671.40"
"1973","Punjab","1303.47"
"1973","Rajasthan","360.32"
"1973","Tamil Nadu","636.75"
"1973","Telangana","1470.93"
"1973","Uttar Pradesh","592.34"
"1973","Uttarakhand","212.73"
"1973","West Bengal","687.66"
"1974","Andhra Pradesh","1451.90"
"1974","Assam","539.81"
"1974","Bihar","715.41"
"1974","Chhattisgarh","1072.17"
"1974","Gujarat","759.33"
"1974","Haryana","697.63"
"1974","Himachal Pradesh","1719.72"
"1974","Jharkhand","1046.40"
"1974","Karnataka","2451.12"
"1974","Kerala","0.00"
"1974","Madhya Pradesh","809.85"
"1974","Maharashtra","587.07"
"1974","Orissa","667.55"
"1974","Punjab","1701.24"
"1974","Rajasthan","344.17"
"1974","Tamil Nadu","635.69"
"1974","Telangana","1587.83"
"1974","Uttar Pradesh","543.63"
"1974","Uttarakhand","279.82"
"1974","West Bengal","684.06"
"1975","Andhra Pradesh","1641.45"
"1975","Assam","606.38"
"1975","Bihar","999.97"
"1975","Chhattisgarh","1021.25"
"1975","Gujarat","1484.21"
"1975","Haryana","941.94"
"1975","Himachal Pradesh","1717.63"
"1975","Jharkhand","967.58"
"1975","Karnataka","2751.37"
"1975","Kerala","0.00"
"1975","Madhya Pradesh","1005.95"
"1975","Maharashtra","1022.03"
"1975","Orissa","821.71"
"1975","Punjab","1328.41"
"1975","Rajasthan","653.68"
"1975","Tamil Nadu","593.48"
"1975","Telangana","1582.76"
"1975","Uttar Pradesh","572.94"
"1975","Uttarakhand","251.37"
"1975","West Bengal","897.23"
"1976","Andhra Pradesh","1310.23"
"1976","Assam","558.38"
"1976","Bihar","1112.65"
"1976","Chhattisgarh","1024.11"
"1976","Gujarat","719.80"
"1976","Haryana","683.08"
"1976","Himachal Pradesh","1562.42"
"1976","Jharkhand","1173.53"
"1976","Karnataka","2243.89"
"1976","Kerala","0.00"
"1976","Madhya Pradesh","1170.37"
"1976","Maharashtra","1445.46"
"1976","Orissa","776.83"
"1976","Punjab","1041.85"
"1976","Rajasthan","564.55"
"1976","Tamil Nadu","626.84"
"1976","Telangana","1006.97"
"1976","Uttar Pradesh","668.93"
"1976","Uttarakhand","308.86"
"1976","West Bengal","817.50"
"1977","Andhra Pradesh","1490.54"
"1977","Assam","565.81"
"1977","Bihar","1134.32"
"1977","Chhattisgarh","854.17"
"1977","Gujarat","667.50"
"1977","Haryana","563.41"
"1977","Himachal Pradesh","1615.41"
"1977","Jharkhand","624.83"
"1977","Karnataka","2730.01"
"1977","Kerala","0.00"
"1977","Madhya Pradesh","836.03"
"1977","Maharashtra","1310.36"
"1977","Orissa","892.98"
"1977","Punjab","1417.24"
"1977","Rajasthan","358.38"
"1977","Tamil Nadu","631.25"
"1977","Telangana","1358.06"
"1977","Uttar Pradesh","640.80"
"1977","Uttarakhand","320.50"
"1977","West Bengal","908.23"
"1978","Andhra Pradesh","1328.84"
"1978","Assam","570.46"
"1978","Bihar","1108.68"
"1978","Chhattisgarh","954.18"
"1978","Gujarat","952.65"
"1978","Haryana","595.26"
"1978","Himachal Pradesh","1505.01"
"1978","Jharkhand","762.30"
"1978","Karnataka","2670.50"
"1978","Kerala","0.00"
"1978","Madhya Pradesh","856.64"
"1978","Maharashtra","1396.19"
"1978","Orissa","933.29"
"1978","Punjab","1507.44"
"1978","Rajasthan","708.93"
"1978","Tamil Nadu","661.58"
"1978","Telangana","1042.44"
"1978","Uttar Pradesh","562.66"
"1978","Uttarakhand","213.20"
"1978","West Bengal","673.59"
"1979","Andhra Pradesh","1257.58"
"1979","Assam","560.18"
"1979","Bihar","958.16"
"1979","Chhattisgarh","1010.46"
"1979","Gujarat","560.81"
"1979","Haryana","539.12"
"1979","Himachal Pradesh","1443.77"
"1979","Jharkhand","811.04"
"1979","Karnataka","2925.82"
"1979","Kerala","0.00"
"1979","Madhya Pradesh","675.56"
"1979","Maharashtra","1926.16"
"1979","Orissa","611.21"
"1979","Punjab","1607.05"
"1979","Rajasthan","538.33"
"1979","Tamil Nadu","646.86"
"1979","Telangana","1043.49"
"1979","Uttar Pradesh","579.21"
"1979","Uttarakhand","969.60"
"1979","West Bengal","1001.61"
"1980","Andhra Pradesh","1733.33"
"1980","Assam","589.57"
"1980","Bihar","958.57"
"1980","Chhattisgarh","971.37"
"1980","Gujarat","907.83"
"1980","Haryana","723.64"
"1980","Himachal Pradesh","1679.62"
"1980","Jharkhand","865.56"
"1980","Karnataka","2626.66"
"1980","Kerala","0.00"
"1980","Madhya Pradesh","909.35"
"1980","Maharashtra","1728.65"
"1980","Orissa","946.78"
"1980","Punjab","1563.27"
"1980","Rajasthan","564.64"
"1980","Tamil Nadu","700.04"
"1980","Telangana","1788.37"
"1980","Uttar Pradesh","559.53"
"1980","Uttarakhand","1109.59"
"1980","West Bengal","1022.64"
"1981","Andhra Pradesh","2818.18"
"1981","Assam","563.36"
"1981","Bihar","1010.48"
"1981","Chhattisgarh","973.70"
"1981","Gujarat","1026.00"
"1981","Haryana","747.54"
"1981","Himachal Pradesh","1623.96"
"1981","Jharkhand","693.58"
"1981","Karnataka","2607.26"
"1981","Kerala","0.00"
"1981","Madhya Pradesh","968.36"
"1981","Maharashtra","1614.90"
"1981","Orissa","1091.61"
"1981","Punjab","1744.59"
"1981","Rajasthan","492.23"
"1981","Tamil Nadu","604.32"
"1981","Telangana","1592.22"
"1981","Uttar Pradesh","670.22"
"1981","Uttarakhand","1090.93"
"1981","West Bengal","1053.50"
"1982","Andhra Pradesh","3262.34"
"1982","Assam","558.13"
"1982","Bihar","1209.50"
"1982","Chhattisgarh","1090.81"
"1982","Gujarat","825.85"
"1982","Haryana","860.32"
"1982","Himachal Pradesh","1433.92"
"1982","Jharkhand","872.82"
"1982","Karnataka","2880.15"
"1982","Kerala","0.00"
"1982","Madhya Pradesh","1035.64"
"1982","Maharashtra","1413.82"
"1982","Orissa","973.51"
"1982","Punjab","1757.29"
"1982","Rajasthan","618.32"
"1982","Tamil Nadu","1615.14"
"1982","Telangana","2191.52"
"1982","Uttar Pradesh","575.52"
"1982","Uttarakhand","1103.69"
"1982","West Bengal","1053.50"
"1983","Andhra Pradesh","4045.63"
"1983","Assam","551.49"
"1983","Bihar","1125.29"
"1983","Chhattisgarh","1324.21"
"1983","Gujarat","1400.69"
"1983","Haryana","751.08"
"1983","Himachal Pradesh","1929.02"
"1983","Jharkhand","891.16"
"1983","Karnataka","2712.25"
"1983","Kerala","0.00"
"1983","Madhya Pradesh","1290.63"
"1983","Maharashtra","1288.33"
"1983","Orissa","1156.43"
"1983","Punjab","1739.54"
"1983","Rajasthan","856.83"
"1983","Tamil Nadu","1807.52"
"1983","Telangana","1394.11"
"1983","Uttar Pradesh","784.00"
"1983","Uttarakhand","1271.07"
"1983","West Bengal","912.12"
"1984","Andhra Pradesh","1553.72"
"1984","Assam","564.14"
"1984","Bihar","1432.70"
"1984","Chhattisgarh","1208.65"
"1984","Gujarat","959.32"
"1984","Haryana","871.15"
"1984","Himachal Pradesh","1844.04"
"1984","Jharkhand","547.24"
"1984","Karnataka","2422.96"
"1984","Kerala","0.00"
"1984","Madhya Pradesh","1247.38"
"1984","Maharashtra","1226.87"
"1984","Orissa","1041.03"
"1984","Punjab","1768.55"
"1984","Rajasthan","924.12"
"1984","Tamil Nadu","1462.23"
"1984","Telangana","1270.33"
"1984","Uttar Pradesh","1208.83"
"1984","Uttarakhand","1273.45"
"1984","West Bengal","983.52"
"1985","Andhra Pradesh","1352.58"
"1985","Assam","570.60"
"1985","Bihar","1418.58"
"1985","Chhattisgarh","986.17"
"1985","Gujarat","401.58"
"1985","Haryana","917.86"
"1985","Himachal Pradesh","1675.09"
"1985","Jharkhand","987.81"
"1985","Karnataka","2290.73"
"1985","Kerala","0.00"
"1985","Madhya Pradesh","852.97"
