"State Name","total_oilseed_area"
"Madhya Pradesh","189945.92"
"Rajasthan","142433.47000000003"
"Maharashtra","134069.16000000018"
"Gujarat","130724.71000000014"
"Karnataka","92527.22999999992"
"Andhra Pradesh","87223.49000000003"
"Tamil Nadu","56225.639999999985"
"Uttar Pradesh","43047.07000000005"
"Orissa","39682.049999999945"
"Telangana","35293.43"
"Kerala","34348.94000000003"
"Haryana","21465.53999999998"
"West Bengal","20300.760000000002"
"Chhattisgarh","17267.080000000013"
"Assam","14176.640000000001"
"Punjab","8697.930000000008"
"Bihar","5536.289999999995"
"Jharkhand","2826.29"
"Uttarakhand","993.5299999999996"
"Himachal Pradesh","799.2499999999993"
