"Dist Name","State Name","avg_rice_yield"
"Ludhiana","Punjab","3650.43"
"Sangrur","Punjab","3532.90"
"Thirunelveli","Tamil Nadu","3387.51"
"Bhatinda","Punjab","3363.16"
"Madurai","Tamil Nadu","3276.98"
"Kanyakumari","Tamil Nadu","3240.69"
"Ferozpur","Punjab","3234.06"
"Patiala","Punjab","3222.13"
"Jalandhar","Punjab","3187.03"
"Salem","Tamil Nadu","3102.58"
"Kapurthala","Punjab","3093.98"
"Tiruchirapalli / Trichy","Tamil Nadu","2968.58"
"Mandya","Karnataka","2941.93"
"Roopnagar / Ropar","Punjab","2926.45"
"South Arcot / Cuddalore","Tamil Nadu","2900.93"
